nombre;direccion;comuna;latitud;longitud
Benito Juárez;Glorieta de la Carrera 1 con Calle 44;4;4.3308123;-74.361737
Árbol de la Vida;Autopista Sur Calle 5 entre Carreras 73 y 75;17;48.8534;2.3486
El Águila;Carrera 38D Calles 4 y 5;19;26.66667;87.5
Virgen de Yanaconas;Yanaconas;56;-13.2895107;-72.1111921
Homenaje Música;Avenida 6N Calle 35N;2;3.4724417;-76.5265133
Homenaje al Policía;Avenida Américas Calle 18N;2;4.6248954;-74.0881115
Benjamín Herrera;Avenida Colombia entre Calles 12 y 13 al Margen Derecho del Rio Cali;3;20.54392;-104.03178
El Gato del Rio;Avenida 4 Oeste Calle 3 Oeste sobre El Margen Izquierda del Rio Cali;2;29.36273;-100.89676
Francisco de Paula Santander;Avenida Colombia Calle 2 Oeste frente al Hotel Intercontinental;3;;
Cuadriga Romana;Avenida Colombia Calle 5 Oeste (Obelisco);3;;
Libardo Lozano Guerrero;Calle 13 Carrera 100;17;3.3754826;-76.5328993
Los Muertos del 7 de Agosto;Calle 25 Carreras 1A y 3A;3;41.7511911;-5.7083774
El Búho;Calle 3 Carreras 36 Y 36B;19;2.3913253;-75.8830982
La Medicina;Calle 3B Carreras 36 y 36B;19;-33.6978751;-53.4693774
Pablo Emilio Manrique;Calle 5 Carrera 15;3;3.4231514;-76.2446413
José de San Martín;Calle 5 Carrera 24;19;3.4240328;-76.2510415
Carlos Holmes Trujillo M.;Calle 72U Carrera 28F;13;-9.376;-171.233
Sebastián de Belalcázar;Calle 7 Oeste con Carrera 2 Oeste;2;3.4348202;-76.5495915
Efraín y María;Avenida 2N 10  70;2;7.9213556;-72.4967759
Tres Cruces;Cerro de las Tres Cruces;65;4.3493047;-75.730007
Cristo Rey;Cerro de Los Cristales;56;-50.5668;-72.7809167
Las Aves del Rio;Avenida 2N 10  70;2;7.9213556;-72.4967759
El Perro;Carrera 34 Calle 3 Oeste;19;19.4387762;-70.7295058
Esfuerzo de la Raza;Carrera 54 Calle 6 Oeste;20;9.0607875;-79.4615695
Jorge Isaacs 1957;Carrera 7 Calle 26;4;1.863699;-76.0372632
La Virgen;Carrera 12 Calles 36 y 37;8;6.262935;-75.5947134
Simón Bolívar;Carrera 17 Transversal 29;8;7.0723799;-73.8496796
José Manuel Saavedra Galindo (Barrio);Transversal 31 con Carrera 17;8;-8.74;117.5333
Jorge Eliecer Gaitán;Carrera 1D Calle 72;6;3.4761955;-76.4880101
Isaías Gamboa;Carrera 4 Calle 1 Oeste;3;18.414167;-66.178895
20 Aniversario de la Fundación Barrio Municipal;Carrera 14F Calles 32 y 33A;8;38.5;-0.5
José Manuel Saavedra Galindo;Calle 7 con Carrera 23;9;8.2436176;-73.3564578
Los Poetas;Carrera 3 con Calles 12 y 13;3;62.16129;-149.85075
Eloy Alfaro;Carrera 10 con Calle 23;9;3.4570491;-76.4818545
Bernardo O'higgins;Avenida 5N Calle 23N;2;41.418531;-3.3790724
Ciudades Confederadas;Calle 13 Carrera 1;2;4.2548678;-76.2244444
Rafael Uribe Uribe;Carrera 1 con Calle 13;2;4.2548678;-76.2244444
Simón Bolívar (1916);Avenida 2N 10  70;2;7.9213556;-72.4967759
Ignacio de Herrera y Vergara;Carrera 5A Calle 19;3;2.268383;-75.8022147
Joaquín de Caicedo y Cuero;Carreras 4 y 5 entre Calles 11 y 12;3;4.5990606;-74.0792823
Fray Damián González;Calle 9 con Carrera 6;3;26.66667;87.16667
Homenaje a la India Elena;Transversal 13 Calle 14;10;5.805107;-73.0212595
Monumento al Ferrocarril;Calle 25N frente a la Estación;2;38.16667;-0.83333
Los Periodistas;Avenida 2N 10  70;2;7.9213556;-72.4967759
Jorge Herrera Barona;Carrera 36 con Calle 5B3;19;6.2444933;-75.5666257
Piper Pimienta;Carrera 10 con Calle 22A;9;3.4437114;-76.5538354
Petronio Álvarez;Calle 9 con Carrera 37A;19;3.4437114;-76.5538354
Alexander Petion;Carrera 1 con Calle 10;3;3.4570491;-76.4818545
La Maceta;Carrera 9 con Calle 10;3;3.4570491;-76.4818545
Niche - Trompeta;Avenida 2N Calle 9;2;3.5890709;-75.3785188
Bicicleta;Calle 27 con Carrera 33A;11;3.4437114;-76.5538354
Benito Juárez;Glorieta de la Carrera 1 con Calle 44;4;4.3308123;-74.361737
Árbol de la Vida;Autopista Sur Calle 5 entre Carreras 73 y 75;17;48.8534;2.3486
El Águila;Carrera 38D Calles 4 y 5;19;26.66667;87.5
Virgen de Yanaconas;Yanaconas;56;-13.2895107;-72.1111921
Homenaje Música;Avenida 6N Calle 35N;2;3.4724417;-76.5265133
Homenaje al Policía;Avenida Américas Calle 18N;2;4.6248954;-74.0881115
Benjamín Herrera;Avenida Colombia entre Calles 12 y 13 al Margen Derecho del Rio Cali;3;20.54392;-104.03178
El Gato del Rio;Avenida 4 Oeste Calle 3 Oeste sobre El Margen Izquierda del Rio Cali;2;29.36273;-100.89676
Francisco de Paula Santander;Avenida Colombia Calle 2 Oeste frente al Hotel Intercontinental;3;;
Cuadriga Romana;Avenida Colombia Calle 5 Oeste (Obelisco);3;;
Libardo Lozano Guerrero;Calle 13 Carrera 100;17;3.3754826;-76.5328993
Los Muertos del 7 de Agosto;Calle 25 Carreras 1A y 3A;3;41.7511911;-5.7083774
El Búho;Calle 3 Carreras 36 Y 36B;19;2.3913253;-75.8830982
La Medicina;Calle 3B Carreras 36 y 36B;19;-33.6978751;-53.4693774
Pablo Emilio Manrique;Calle 5 Carrera 15;3;3.4231514;-76.2446413
José de San Martín;Calle 5 Carrera 24;19;3.4240328;-76.2510415
Carlos Holmes Trujillo M.;Calle 72U Carrera 28F;13;-9.376;-171.233
Sebastián de Belalcázar;Calle 7 Oeste con Carrera 2 Oeste;2;3.4348202;-76.5495915
Efraín y María;Avenida 2N 10  70;2;7.9213556;-72.4967759
Tres Cruces;Cerro de las Tres Cruces;65;4.3493047;-75.730007
Cristo Rey;Cerro de Los Cristales;56;-50.5668;-72.7809167
Las Aves del Rio;Avenida 2N 10  70;2;7.9213556;-72.4967759
El Perro;Carrera 34 Calle 3 Oeste;19;19.4387762;-70.7295058
Esfuerzo de la Raza;Carrera 54 Calle 6 Oeste;20;9.0607875;-79.4615695
Jorge Isaac 1957;Carrera 7 Calle 26;4;1.863699;-76.0372632
La Virgen;Carrera 12 Calles 36 y 37;8;6.262935;-75.5947134
Simón Bolívar;Carrera 17 Transversal 29;8;7.0723799;-73.8496796
José Manuel Saavedra Galindo (Barrio);Transversal 31 con Carrera 17;8;-8.74;117.5333
Jorge Eliecer Gaitán;Carrera 1D Calle 72;6;3.4761955;-76.4880101
Isaías Gamboa;Carrera 4 Calle 1 Oeste;3;18.414167;-66.178895
20 Aniversario de la Fundación Barrio Municipal;Carrera 14F Calles 32 y 33A;8;38.5;-0.5
José Manuel Saavedra Galindo;Calle 7 con Carrera 23;9;8.2436176;-73.3564578
Los Poetas;Carrera 3 con Calles 12 y 13;3;62.16129;-149.85075
Eloy Alfaro;Carrera 10 con Calle 23;9;3.4570491;-76.4818545
Bernardo O'higgins;Avenida 5N Calle 23N;2;41.418531;-3.3790724
Ciudades Confederadas;Calle 13 Carrera 1;2;4.2548678;-76.2244444
Rafael Uribe Uribe;Carrera 1 con Calle 13;2;4.2548678;-76.2244444
Simón Bolívar (1916);Avenida 2N 10  70;2;7.9213556;-72.4967759
Ignacio de Herrera y Vergara;Carrera 5A Calle 19;3;2.268383;-75.8022147
Joaquín de Caicedo y Cuero;Carreras 4 y 5 entre Calles 11 y 12;3;4.5990606;-74.0792823
