Año;Nombre;Direccion;Barrio;Comuna;Clasificación;Declaratoria plan de ordenamiento territorial;Fecha creación;Técnica y material;Estado integridad;Estado conservación;Tipología;Elementos;Ficha de inventario;Observaciones
2020;Benito Juárez;Glorieta de la Carrera 1 con Calle 44;Popular;4;Estatua;Si;18/07/1972;Piedra Tallada;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Piedra Tallada;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-1.pdf;Sin observación
2020;Árbol de la Vida;Autopista Sur Calle 5 entre Carreras 73 y 75;El Gran Limonar - Cataya;17;Monumento;Si;4/05/1998;Estructura Metálica  Modelada en Fibra de Vidrio y Resina;Fragmentado;Malo;Escultura Pedestre de Bulto Redondo;Base en Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-2.pdf;Sin observación
2020;El Águila;Carrera 38D Calles 4 y 5;Santa Isabel;19;Monumento;Si;1/01/1960;Bronce Fundido A La Cera Perdida;Completo;Bueno;Escultura en Bulto Redondo;Pedestal y Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-3.pdf;Sin observación
2020;Virgen de Yanaconas;Yanaconas;Corregimiento Los Andes;56;Monumento;Si;1/01/1942;Modelada en Ferro Concreto;Completo;Bueno;Grupo Escultórico;Pedestal: Escudo de Colombia. Estructura Arquitectura con Gradería;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-4.pdf;Sin observación
2020;Homenaje Música;Avenida 6N Calle 35N;San Vicente;2;Monumento;Si;1/01/1991;Material de Hierro;Regular;Regular;Estructura en Clave de Sol Pedestal en Cemento y Granito. Placa;Pedestal en Cemento y Granito. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-5.pdf;Sin observación
2020;Homenaje al Policía;Avenida Américas Calle 18N;Versalles;2;Monumento;Si;1/01/1992;Concreto Armado;Completo;Bueno;Grupo Escultórico;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-6.pdf;Sin observación
2020;Benjamín Herrera;Avenida Colombia entre Calles 12 y 13 al Margen Derecho del Rio Cali;San Pedro;3;Estatua;Si;29/02/1952;Bronce Fundido;Completo;Bueno;Escultura Pedreste en Bulto Redondo;Pedestal Cemento y Piedra. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-7.pdf;Sin observación
2020;El Gato del Rio;Avenida 4 Oeste Calle 3 Oeste sobre El Margen Izquierda del Rio Cali;Normandía;2;Monumento;Si;3/07/1996;Bronce Fundido;Completo;Bueno;Escultura en Bulto Redondo;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-8.pdf;Sin observación
2020;Francisco de Paula Santander;Avenida Colombia Calle 2 Oeste frente al Hotel Intercontinental;El Peñón;3;Estatua;Si;1/01/1942;Bronce Fundido a la Cera Perdida;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Piedra y Granito;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-9.pdf;Sin observación
2020;Cuadriga Romana;Avenida Colombia Calle 5 Oeste (Obelisco);El Peñón;3;Monumento;Si;1/01/1926;Modelado de Estructura Metálica y Recubrimiento en Concreto y Yeso;Completo;Bueno;Grupo Escultórico;Pedestal en Cemento. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-10.pdf;Sin observación
2020;Libardo Lozano Guerrero;Calle 13 Carrera 100;Ciudad Universitaria;17;Estatua;Si;1/01/1986;Bronce Fundido;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-11.pdf;Sin observación
2020;Los Muertos del 7 de Agosto;Calle 25 Carreras 1A y 3A;San Nicolás;3;Monumento;Si;1/01/1950;Concreto Armado Repello y Estuco;Completo;Bueno;Estructura en Forma de Cruz;Base;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-12.pdf;Sin observación
